item_type,model,feature_key,feature_label,coef_value,ci_low_value,ci_high_value,n,coef_rank,ci_low_rank,ci_high_rank,sign_value,sign_rank,sign_flip
Individual papers,GPT-5 Nano,mathphysics_share,Math/Physics Journals,-0.0021825770291824,-0.0059668590476516,0.000851522900576,2005,-0.02347297720159118,-0.04053246679182449,-0.008441221221429289,-1,-1,False
Individual papers,GPT-5 Nano,multidisciplinary_share,Multidisciplinary Journals,0.001014568871672,-0.0020058633003635,0.0037917855397875,2005,-0.0075844123344903725,-0.022305996938141795,0.006168973862032304,1,-1,True
Individual papers,Claude Sonnet 4.6,journal_impact,Journal Impact Factor,0.000920835958758,-0.0003334513890622,0.0021338014072364,2011,0.0050268469619998875,-0.007454482516909536,0.01825347045527332,1,1,False
Individual papers,Claude Sonnet 4.6,citation,Citation,-0.0030574993662566,-0.0045666972011586,-0.0013956432459787,2011,-0.03163054477423467,-0.05027702555889758,-0.013739585032788494,-1,-1,False
Individual papers,Claude Sonnet 4.6,empirical_share,Empirical papers,-0.0022487977751668,-0.0035087632648969,-0.0008619497501932,2011,-0.02439494374060197,-0.038548645675506345,-0.010973635884455653,-1,-1,False
Individual papers,Claude Sonnet 4.6,recent,Publication Year,-0.0023444123055117,-0.0036593880224808,-0.0009364097641936,2011,-0.028202817045830032,-0.0436085987952439,-0.012377862698550098,-1,-1,False
Individual papers,Claude Sonnet 4.6,biology_share,Biology Journals,0.0010792501873286,4.200482533348788e-05,0.0022164791971891,2011,0.012088922550039603,0.00015365544675567628,0.023553613980394683,1,1,False
Individual papers,Claude Sonnet 4.6,economics_share,Economics Journals,0.0004542906363569,-0.0009550431147878,0.0019239214323746,2011,0.005445645431880587,-0.010203930521408213,0.01948778705728464,1,1,False
Individual papers,Claude Sonnet 4.6,psychology_share,Psychology Journals,0.0006345435025616,-0.0004165248405758,0.001771574072117,2011,0.006479598504511942,-0.00525270434937824,0.018076515139074528,1,1,False
Individual papers,Claude Sonnet 4.6,mathphysics_share,Math/Physics Journals,-0.001050246478145,-0.0023134976611178,0.0004243237901549,2011,-0.01120841271099678,-0.02547213114701965,0.003426154276873376,-1,-1,False
Individual papers,Claude Sonnet 4.6,multidisciplinary_share,Multidisciplinary Journals,0.0003295515836622,-0.0007937018275762,0.0015894167721993,2011,0.0018924864503522764,-0.010805739792208686,0.0159287879999316,1,1,False
Individual papers,Gemini 2.5 Pro,journal_impact,Journal Impact Factor,0.0002374116746783,-0.0039254672934499,0.0051805938705641,2011,0.0032859870171973726,-0.008191046539398816,0.01773616294673662,1,1,False
Individual papers,Gemini 2.5 Pro,citation,Citation,-0.0060126220337525,-0.0127322437921123,-0.0017815623242161,2011,-0.013884490686625192,-0.03263174330560834,-0.0017225580891350263,-1,-1,False
Individual papers,Gemini 2.5 Pro,empirical_share,Empirical papers,-0.0118446455499867,-0.0179696932671231,-0.0068179598981462,2011,-0.0323325316682427,-0.04961223369881326,-0.018576229699747374,-1,-1,False
Individual papers,Gemini 2.5 Pro,recent,Publication Year,0.00016371550615,-0.0038671920248014,0.0034848015249971,2011,-0.007593476803833737,-0.02184952323973862,0.004361316251399496,1,-1,True
Individual papers,Gemini 2.5 Pro,biology_share,Biology Journals,0.0050343681449527,0.0018272140122677,0.0088164883048102,2011,0.019044909569926053,0.008147427991369097,0.03137653469509913,1,1,False
Individual papers,Gemini 2.5 Pro,economics_share,Economics Journals,-0.0034671145384606,-0.0080453886993551,0.0014587108603916,2011,-0.013042838603008167,-0.025279592209231094,-0.0014689807615570166,-1,-1,False
Individual papers,Gemini 2.5 Pro,psychology_share,Psychology Journals,0.0010932340285966,-0.0022732373313457,0.0051001921550871,2011,0.004095381335462521,-0.006816427379987808,0.015449124016570125,1,1,False
Individual papers,Gemini 2.5 Pro,mathphysics_share,Math/Physics Journals,0.0003591263110891,-0.0039890718740858,0.0043157907799407,2011,-0.0013956967818658074,-0.016236373187327346,0.010561635169698201,1,-1,True
Individual papers,Gemini 2.5 Pro,multidisciplinary_share,Multidisciplinary Journals,0.0025566415927075,-0.0011859800679829,0.0064029499804584,2011,0.002536857074267598,-0.010511912024295692,0.01421956903469883,1,1,False
