custom_id,n_lab_rows,n_reported_params,n_varied_params
10.1177_001872677002300105,3,4,0
10.1177_0956797613510184,3,7,0
10.1257_000282803321455359,3,7,0
10.1371_journal.pone.0064941,3,7,0
10.1371_journal.pone.0154321,3,6,0
10.1561_105.00000200_app,3,8,0
10.1628_093245607780181919,3,6,0
10.3389_fnhum.2018.00265,3,5,0
10.3389_fpsyg.2015.00729,3,7,0
10.3390_g12010025,3,5,0
10.1002_hbm.25874,2,5,0
10.1002_ijop.12257,2,3,0
10.1007_s00355-021-01363-6,2,12,0
10.1007_s00406-013-0392-5,2,3,0
10.1007_s10479-017-2412-8,2,7,0
10.1007_s10640-017-0126-7,2,5,0
10.1007_s10657-019-09615-8,2,9,0
10.1007_s10683-006-9153-x,2,6,0
10.1007_s10683-010-9257-1,2,6,0
10.1007_s10683-011-9292-6,2,10,0
10.1007_s10683-013-9360-1,2,5,0
10.1007_s10683-013-9367-7,2,12,0
10.1007_s10683-017-9527-2,2,7,0
10.1007_s11211-017-0300-7,2,6,0
10.1007_s11238-004-3672-8,2,5,0
10.1007_s12144-019-0129-3,2,3,0
10.1007_s40881-023-00137-3,2,4,0
10.1007_s40881-023-00153-3,2,6,0
10.1007_s40881-023-00159-x,2,2,0
10.1007_s41412-019-00093-6,2,8,0
10.1016_j.actpsy.2025.105088,2,3,0
10.1016_j.chieco.2025.102459,2,9,0
10.1016_j.cub.2006.03.069,2,4,0
10.1016_j.drugalcdep.2013.08.013,2,3,0
10.1016_j.econlet.2012.08.002,2,7,0
10.1016_j.econlet.2017.05.022,2,8,0
10.1016_j.econlet.2018.07.043,2,6,0
10.1016_j.evolhumbehav.2007.04.001,2,8,0
10.1016_j.jebo.2008.09.007,2,5,0
10.1016_j.jebo.2009.11.001,2,6,0
10.1016_j.jebo.2011.10.002,2,4,0
10.1016_j.jebo.2024.02.003,2,9,0
10.1016_j.joep.2008.12.002,2,3,0
10.1016_j.joep.2021.102448,2,9,0
10.1016_j.jpubeco.2009.10.007,2,11,0
10.1016_j.leaqua.2023.101695,2,5,0
10.1016_s0014-2921(01)00220-3,2,3,0
10.1037_a0019861,2,3,0
10.1037_a0033495,2,8,0
10.1038_415137a,2,6,0
10.1038_415424a,2,7,0
10.1038_s41467-020-15661-7,2,5,0
10.1038_s41598-020-73314-7,2,8,0
10.1038_s41598-021-04217-4,2,8,0
10.1038_s41598-021-87019-y,2,4,0
10.1038_s41598-023-41886-9,2,7,0
10.1038_srep06025,2,3,0
10.1038_srep18182,2,4,0
10.1073_pnas.0908855106,2,4,0
10.1073_pnas.0913149107,2,6,0
10.1093_scan_nsab124,2,3,0
10.1098_rsbl.2015.0172,2,7,0
10.1098_rsos.230867,2,3,0
10.1098_rspb.2012.0615,2,5,0
10.1098_rstb.2010.0135,2,5,0
10.1098_rstb.2015.0011,2,7,0
10.1111_bjso.12450,2,3,0
10.1111_ecin.12797,2,8,0
10.1111_ecin.12974,2,9,0
10.1111_j.1420-9101.2010.01936.x,2,2,0
10.1111_j.1467-9779.2011.01515.x,2,7,0
10.1111_j.1467-9779.2011.01520.x,2,10,0
10.1111_jpet.12181,2,4,0
10.1111_ssqu.12910,2,8,0
10.1126_science.1153808,2,6,0
10.1155_2021_6192629,2,5,0
10.1177_0951629815586882,2,4,0
10.1177_0956797617752642,2,9,0
10.1177_1745691613488533,2,7,0
10.1177_1948550614527115,2,7,0
10.1177_1948550619849431,2,3,0
10.1257_mic.6.1.290,2,3,0
10.1371_journal.pone.0092336,2,6,0
10.1371_journal.pone.0114976,2,3,0
10.1371_journal.pone.0120394,2,7,0
10.1371_journal.pone.0155414,2,3,0
10.1371_journal.pone.0200965,2,5,0
10.1371_journal.pone.0249339,2,3,0
10.1371_journal.pone.0267251,2,6,0
10.1628_093245607780182008,2,6,0
10.3389_fnsys.2022.765720,2,3,0
10.4284_0038-4038-2012.067,2,7,0
10.1002_hbm.21298,1,7,0
10.1007_s10551-024-05865-y,1,6,0
10.1007_s10683-011-9272-x,1,0,0
10.1007_s40881-023-00157-z,1,8,0
10.1016_j.amc.2020.125063,1,6,0
10.1016_j.econlet.2014.05.017,1,7,0
10.1016_j.jebo.2003.11.006,1,5,0
10.1016_j.jebo.2011.01.005,1,6,0
10.1016_j.jebo.2020.10.005,1,7,0
10.1016_j.jrp.2019.05.005,1,11,0
10.1037_npe0000069,1,4,0
10.1037_pspi0000389,1,1,0
10.1037_xge0000365,1,2,0
10.1037_xge0000405,1,6,0
10.1038_ncomms6306,1,6,0
10.1080_00220485.2018.1551097,1,7,0
10.1111_geer.12103,1,7,0
10.1177_0956797615624469,1,5,0
10.1371_journal.pone.0085691,1,10,0
10.1371_journal.pone.0166101,1,4,0
10.3390_e22020199,1,5,0
10.5751_es-07493-200323,1,6,0
