wave,input_group,mode,feature,median_value,mean_value,n_variants,baseline_median_value,baseline_mean_value,median_delta_vs_baseline,mean_delta_vs_baseline
validation,both,joint,CONFIG_playerCount,0.07776231685209135,0.021256609708001483,8,0.03667369382071379,0.03667369382071379,0.041088623031377565,-0.015417084112712306
validation,both,joint,CONFIG_punishmentCost,-0.2564524300966139,-0.25210706273833605,8,0.038979212620963447,0.038979212620963447,-0.2954316427175773,-0.2910862753592995
validation,both,joint,CONFIG_punishmentTech,-0.1821644823600403,-0.17089892166045656,8,-0.0008223775232222922,-0.0008223775232222922,-0.181342104836818,-0.17007654413723428
validation,both,joint,CONFIG_rewardTech,-0.07670103581016255,-0.0819882302728691,8,0.03103847307658741,0.03103847307658741,-0.10773950888674996,-0.11302670334945651
validation,both,joint,control_pct,-0.6708095882614467,-0.6271378558435129,8,-0.45796142711580534,-0.45796142711580534,-0.2128481611456413,-0.16917642872770755
validation,both,joint_reasoning,CONFIG_MPCR,0.01581399505311944,-0.009484669631223776,8,0.3265445948125131,0.3265445948125131,-0.31073059975939366,-0.3360292644437369
validation,both,joint_reasoning,CONFIG_numRounds,-0.11780208278149279,-0.1522494699853172,8,0.10570967104744611,0.10570967104744611,-0.2235117538289389,-0.2579591410327633
validation,both,joint_reasoning,CONFIG_playerCount,-0.10969383744122252,-0.11427565998342414,8,-0.11481577983571777,-0.11481577983571777,0.005121942394495246,0.0005401198522936301
validation,both,joint_reasoning,CONFIG_punishmentCost,-0.1751579529130965,-0.12301304574674585,8,-0.5195460886016662,-0.5195460886016662,0.3443881356885697,0.3965330428549203
validation,both,joint_reasoning,CONFIG_punishmentTech,-0.06884345307567584,-0.023657082423030447,8,0.019063349193310538,0.019063349193310538,-0.08790680226898638,-0.04272043161634098
validation,both,joint_reasoning,CONFIG_rewardTech,-0.1433105329868568,-0.12366377205980524,8,0.12351173049765526,0.12351173049765526,-0.2668222634845121,-0.2471755025574605
validation,both,joint_reasoning,control_pct,-0.2521814299071341,-0.09776137084033229,8,-0.6284459309494709,-0.6284459309494709,0.3762645010423368,0.5306845601091386
validation,both,reasoning,CONFIG_MPCR,0.08195813007979405,0.06390313734150609,8,0.475918091025485,0.475918091025485,-0.39395996094569097,-0.4120149536839789
validation,both,reasoning,CONFIG_numRounds,-0.006618570422145011,0.02373563726347056,8,0.019903994663810907,0.019903994663810907,-0.026522565085955917,0.0038316425996596515
validation,both,reasoning,CONFIG_playerCount,-0.3001568931916568,-0.2789783386001753,8,0.3016475567605514,0.3016475567605514,-0.6018044499522082,-0.5806258953607266
validation,both,reasoning,CONFIG_punishmentCost,-0.024630748452417903,-0.005010436022472094,8,-0.011496798947134351,-0.011496798947134351,-0.013133949505283552,0.006486362924662257
validation,both,reasoning,CONFIG_punishmentTech,0.11926792752679818,0.12527333766189502,8,0.16904843862846905,0.16904843862846905,-0.049780511101670866,-0.043775100966574026
validation,both,reasoning,CONFIG_rewardTech,-0.36637441374580826,-0.340150842526927,8,0.08138488013516858,0.08138488013516858,-0.44775929388097685,-0.4215357226620956
validation,both,reasoning,control_pct,0.1919953119821205,0.22778511913372998,8,-0.7730221237238182,-0.7730221237238182,0.9650174357059387,1.000807242857548
validation,both,single,CONFIG_MPCR,0.3966710898360983,0.4103891581356096,8,0.35368935867158174,0.35368935867158174,0.042981731164516535,0.05669979946402787
validation,both,single,CONFIG_numRounds,-0.03764630550532158,-0.04205359146405701,8,-0.0491591726082142,-0.0491591726082142,0.011512867102892621,0.007105581144157193
validation,both,single,CONFIG_playerCount,0.0849818540308386,0.07858963754675966,8,-0.0355443926860903,-0.0355443926860903,0.12052624671692891,0.11413403023284996
validation,both,single,CONFIG_punishmentCost,-0.04508716835416962,-0.006364481564952718,8,-0.3229160955210082,-0.3229160955210082,0.2778289271668386,0.31655161395605547
validation,both,single,CONFIG_punishmentTech,0.18604221539955834,0.1634935720005003,8,-0.3565299344128684,-0.3565299344128684,0.5425721498124267,0.5200235064133687
validation,both,single,CONFIG_rewardTech,-0.20088964256865044,-0.19323893084363453,8,-0.13166604841632365,-0.13166604841632365,-0.06922359415232679,-0.06157288242731088
validation,both,single,control_pct,-0.6002333610564874,-0.5938472177036827,8,-0.6679236942844734,-0.6679236942844734,0.06769033322798601,0.07407647658079075
validation,data_only,joint,CONFIG_MPCR,0.19537618158346304,0.230034968769267,3,0.20135063410638407,0.20135063410638407,-0.005974452522921031,0.02868433466288292
validation,data_only,joint,CONFIG_numRounds,0.07387464787542644,0.08314856561822025,3,-0.11827028215718054,-0.11827028215718054,0.19214493003260696,0.20141884777540078
validation,data_only,joint,CONFIG_playerCount,-0.24094822847126618,-0.12598839780470186,3,0.03667369382071379,0.03667369382071379,-0.27762192229197996,-0.16266209162541564
validation,data_only,joint,CONFIG_punishmentCost,-0.32998698262359677,-0.3303986368051024,3,0.038979212620963447,0.038979212620963447,-0.3689661952445602,-0.36937784942606583
validation,data_only,joint,CONFIG_punishmentTech,-0.012855351419878923,-0.02744238779686981,3,-0.0008223775232222922,-0.0008223775232222922,-0.01203297389665663,-0.026620010273647517
validation,data_only,joint,CONFIG_rewardTech,-0.34120212004750916,-0.3503979752041891,3,0.03103847307658741,0.03103847307658741,-0.3722405931240966,-0.3814364482807765
validation,data_only,joint,control_pct,-0.3495325586976212,-0.35911446239518313,3,-0.45796142711580534,-0.45796142711580534,0.10842886841818417,0.09884696472062221
validation,data_only,joint_reasoning,CONFIG_MPCR,0.17469408096125452,0.1920218000597295,3,0.3265445948125131,0.3265445948125131,-0.15185051385125856,-0.1345227947527836
validation,data_only,joint_reasoning,CONFIG_numRounds,-0.11265018059860354,-0.10030756866534903,3,0.10570967104744611,0.10570967104744611,-0.21835985164604965,-0.20601723971279512
validation,data_only,joint_reasoning,CONFIG_playerCount,0.37189788470639656,0.3505981706506249,3,-0.11481577983571777,-0.11481577983571777,0.48671366454211434,0.46541395048634265
validation,data_only,joint_reasoning,CONFIG_punishmentCost,0.13753271942722706,0.00011193506829391502,3,-0.5195460886016662,-0.5195460886016662,0.6570788080288932,0.5196580236699601
validation,data_only,joint_reasoning,CONFIG_punishmentTech,0.11042790104210819,0.07291729895306226,3,0.019063349193310538,0.019063349193310538,0.09136455184879765,0.05385394975975172
validation,data_only,joint_reasoning,CONFIG_rewardTech,0.20113476274510636,0.1197336723219385,3,0.12351173049765526,0.12351173049765526,0.0776230322474511,-0.0037780581757167614
validation,data_only,joint_reasoning,control_pct,-0.759679442886684,-0.7465333274381877,3,-0.6284459309494709,-0.6284459309494709,-0.1312335119372131,-0.1180873964887168
validation,data_only,reasoning,CONFIG_MPCR,-0.02621096603268454,-0.053658122659491374,3,0.475918091025485,0.475918091025485,-0.5021290570581696,-0.5295762136849763
validation,data_only,reasoning,CONFIG_numRounds,0.1410722336036853,0.2232333364558313,3,0.019903994663810907,0.019903994663810907,0.12116823893987438,0.2033293417920204
validation,data_only,reasoning,CONFIG_playerCount,0.11364374064411653,0.09375908785030457,3,0.3016475567605514,0.3016475567605514,-0.18800381611643485,-0.20788846891024682
validation,data_only,reasoning,CONFIG_punishmentCost,-0.14068162414329846,-0.028233985989029885,3,-0.011496798947134351,-0.011496798947134351,-0.12918482519616412,-0.016737187041895536
validation,data_only,reasoning,CONFIG_punishmentTech,-0.09872040540443656,-0.045264526794578375,3,0.16904843862846905,0.16904843862846905,-0.26776884403290563,-0.21431296542304742
validation,data_only,reasoning,CONFIG_rewardTech,-0.059896285324394165,-0.047910517066311664,3,0.08138488013516858,0.08138488013516858,-0.14128116545956274,-0.12929539720148026
