wave,input_group,mode,feature,median_value,mean_value,n_variants
validation,paper_only,joint,CONFIG_punishmentTech,-0.17587828554607818,-0.17309151511104384,3
validation,paper_only,joint,CONFIG_rewardTech,-0.039743340586718384,-0.12303794846978373,3
validation,paper_only,joint,control_pct,-0.9007203129807205,-0.7664887222808247,3
validation,paper_only,joint_reasoning,CONFIG_MPCR,-0.14683426429917454,-0.007161650282802541,3
validation,paper_only,joint_reasoning,CONFIG_numRounds,0.035565589675282824,0.08700130955686837,3
validation,paper_only,joint_reasoning,CONFIG_playerCount,0.09849232728675854,0.1537378753544596,3
validation,paper_only,joint_reasoning,CONFIG_punishmentCost,-0.2044630781100598,-0.18506830964865773,3
validation,paper_only,joint_reasoning,CONFIG_punishmentTech,-0.20629435870839435,-0.08508625229127792,3
validation,paper_only,joint_reasoning,CONFIG_rewardTech,-0.09028120836538664,-0.11031000981263078,3
validation,paper_only,joint_reasoning,control_pct,-0.13642000559145737,-0.32998547259698713,3
validation,paper_only,reasoning,CONFIG_MPCR,-0.10253334843366976,-0.09772840109044084,3
validation,paper_only,reasoning,CONFIG_numRounds,0.07677752956848989,-0.08055571580707359,3
validation,paper_only,reasoning,CONFIG_playerCount,-0.15155351089814428,-0.16948345764743297,3
validation,paper_only,reasoning,CONFIG_punishmentCost,0.17130151998467233,0.20964790187135354,3
validation,paper_only,reasoning,CONFIG_punishmentTech,0.09636248217803836,0.14497286798327957,3
validation,paper_only,reasoning,CONFIG_rewardTech,-0.3551648257144489,-0.3542424130878125,3
validation,paper_only,reasoning,control_pct,0.34542340045142506,0.3368320704704644,3
validation,paper_only,single,CONFIG_MPCR,0.42909964389252353,0.36785863613835407,3
validation,paper_only,single,CONFIG_numRounds,0.05947154482674685,0.07474652424625376,3
validation,paper_only,single,CONFIG_playerCount,0.09543576502698457,0.055690643373969784,3
validation,paper_only,single,CONFIG_punishmentCost,-0.09925641567909013,-0.09834879269177517,3
validation,paper_only,single,CONFIG_punishmentTech,0.09957878442004627,0.07646731630298992,3
validation,paper_only,single,CONFIG_rewardTech,-0.15312684272698676,-0.12682529195343953,3
validation,paper_only,single,control_pct,-0.4647627623484424,-0.3788330420673722,3
