model,source_id,correlation,baseline_correlation
GPT-5 Mini,10.1016_j.irle.2020.105931,0.5047772526741028,0.5310259892384347
GPT-5 Mini,10.1093_jleo_ewad011,0.5050095915794373,0.5310259892384347
GPT-5 Mini,10.3389_fpsyg.2019.02956,0.505235493183136,0.5310259892384347
GPT-5 Mini,10.1007_s00191-014-0387-z,0.5054723620414734,0.5310259892384347
GPT-5 Mini,10.1177_0951629815586882,0.5056220889091492,0.5310259892384347
GPT-5 Mini,10.1016_j.physa.2012.03.027,0.5057527422904968,0.5310259892384347
GPT-5 Mini,10.1016_j.geb.2022.03.015,0.5061058402061462,0.5310259892384347
GPT-5 Mini,10.1007_s10683-018-9592-1,0.5061449408531189,0.5310259892384347
GPT-5 Mini,10.1016_j.jebo.2009.11.003,0.5062612295150757,0.5310259892384347
GPT-5 Mini,10.1038_nature01474,0.5066673159599304,0.5310259892384347
GPT-5 Mini,10.1002_bdm.2110,0.5068078637123108,0.5310259892384347
GPT-5 Mini,10.1098_rspb.2009.1900,0.5069220066070557,0.5310259892384347
GPT-5 Mini,10.1007_s11558-025-09594-3,0.5073704123497009,0.5310259892384347
GPT-5 Mini,10.1007_s00355-018-1130-8,0.507584810256958,0.5310259892384347
GPT-5 Mini,10.1093_jleo_ewy026,0.5076039433479309,0.5310259892384347
GPT-5 Mini,10.1142_s0129183121501278,0.5078349709510803,0.5310259892384347
GPT-5 Mini,10.1093_bjps_axz022,0.5084081888198853,0.5310259892384347
GPT-5 Mini,10.1016_j.jtbi.2023.111585,0.5084648132324219,0.5310259892384347
GPT-5 Mini,10.1016_j.geb.2019.02.006,0.5087475776672363,0.5310259892384347
GPT-5 Mini,10.1016_j.jebo.2016.09.005,0.509470522403717,0.5310259892384347
GPT-5 Mini,10.1103_sz5b-j75y,0.509509801864624,0.5310259892384347
GPT-5 Mini,10.1016_j.euroecorev.2024.104682,0.5096025466918945,0.5310259892384347
GPT-5 Mini,10.1016_j.joep.2009.04.004,0.5096339583396912,0.5310259892384347
GPT-5 Mini,10.1371_journal.pone.0240324,0.509665846824646,0.5310259892384347
GPT-5 Mini,10.1016_j.jtbi.2005.07.014,0.5097372531890869,0.5310259892384347
GPT-5 Mini,10.1126_science.1153808,0.5097627639770508,0.5310259892384347
GPT-5 Mini,10.1016_j.econlet.2007.09.048,0.5099650621414185,0.5310259892384347
GPT-5 Mini,10.1371_journal.pcbi.1004527,0.5099801421165466,0.5310259892384347
